"id";"datetime";"dive_number";"dive_type";"depth"
2010023;2010-03-10 12:39:04;1;"Forage";526,5
2010023;2010-03-10 12:39:06;1;"Forage";523
2010023;2010-03-10 12:39:08;1;"Forage";519
2010023;2010-03-10 12:39:09;1;"Forage";515
2010023;2010-03-10 12:39:11;1;"Forage";511,5
2010023;2010-03-10 12:39:13;1;"Forage";508,5
2010023;2010-03-10 12:39:16;1;"Forage";506
2010023;2010-03-10 12:39:18;1;"Forage";504,5
2010023;2010-03-10 12:39:20;1;"Forage";503
2010023;2010-03-10 12:39:22;1;"Forage";501,5
2010023;2010-03-10 12:39:23;1;"Forage";500,5
2010023;2010-03-10 12:39:25;1;"Forage";499,5
2010023;2010-03-10 12:39:27;1;"Forage";498,5
2010023;2010-03-10 12:39:30;1;"Forage";498
2010023;2010-03-10 12:39:32;1;"Forage";498
2010023;2010-03-10 12:39:34;1;"Forage";498,5
2010023;2010-03-10 12:39:35;1;"Forage";498,5
2010023;2010-03-10 12:39:37;1;"Forage";497,5
2010023;2010-03-10 12:39:39;1;"Forage";498,5
2010023;2010-03-10 12:39:41;1;"Forage";500
2010023;2010-03-10 12:39:44;1;"Forage";499,5
2010023;2010-03-10 12:39:46;1;"Forage";499
2010023;2010-03-10 12:39:48;1;"Forage";496
2010023;2010-03-10 12:39:49;1;"Forage";493,5
2010023;2010-03-10 12:39:51;1;"Forage";491
2010023;2010-03-10 12:39:53;1;"Forage";488,5
2010023;2010-03-10 12:39:55;1;"Forage";486
2010023;2010-03-10 12:39:58;1;"Forage";483,5
2010023;2010-03-10 12:40:00;1;"Forage";481
2010023;2010-03-10 12:40:02;1;"Forage";478,5
2010023;2010-03-10 12:40:03;1;"Forage";476,5
2010023;2010-03-10 12:40:05;1;"Forage";474
2010023;2010-03-10 12:40:07;1;"Forage";471,5
2010023;2010-03-10 12:40:10;1;"Forage";469,5
2010023;2010-03-10 12:40:12;1;"Forage";467,5
2010023;2010-03-10 12:40:14;1;"Forage";465,5
2010023;2010-03-10 12:40:16;1;"Forage";464,5
2010023;2010-03-10 12:40:17;1;"Forage";462,5
2010023;2010-03-10 12:40:19;1;"Forage";460,5
2010023;2010-03-10 12:40:21;1;"Forage";458
2010023;2010-03-10 12:40:24;1;"Forage";456
2010023;2010-03-10 12:40:26;1;"Forage";454
2010023;2010-03-10 12:40:28;1;"Forage";452
2010023;2010-03-10 12:40:29;1;"Forage";450
2010023;2010-03-10 12:40:31;1;"Forage";447
2010023;2010-03-10 12:40:33;1;"Forage";444,5
2010023;2010-03-10 12:40:35;1;"Forage";442
2010023;2010-03-10 12:40:38;1;"Forage";439,5
2010023;2010-03-10 12:40:40;1;"Forage";438
2010023;2010-03-10 12:40:42;1;"Forage";437
2010023;2010-03-10 12:40:43;1;"Forage";435,5
2010023;2010-03-10 12:40:45;1;"Forage";433,5
2010023;2010-03-10 12:40:47;1;"Forage";430
2010023;2010-03-10 12:40:49;1;"Forage";428
2010023;2010-03-10 12:40:52;1;"Forage";425
2010023;2010-03-10 12:40:54;1;"Forage";423,5
2010023;2010-03-10 12:40:56;1;"Forage";422
2010023;2010-03-10 12:40:57;1;"Forage";421
2010023;2010-03-10 12:40:59;1;"Forage";421
2010023;2010-03-10 12:41:01;1;"Forage";421,5
2010023;2010-03-10 12:41:04;1;"Forage";421,5
2010023;2010-03-10 12:41:06;1;"Forage";422,5
2010023;2010-03-10 12:41:08;1;"Forage";421
2010023;2010-03-10 12:41:10;1;"Forage";421,5
2010023;2010-03-10 12:41:11;1;"Forage";423,5
2010023;2010-03-10 12:41:13;1;"Forage";423,5
2010023;2010-03-10 12:41:15;1;"Forage";423,5
2010023;2010-03-10 12:41:18;1;"Forage";420,5
2010023;2010-03-10 12:41:20;1;"Forage";421
2010023;2010-03-10 12:41:22;1;"Forage";422
2010023;2010-03-10 12:41:24;1;"Forage";423,5
2010023;2010-03-10 12:41:25;1;"Forage";423,5
2010023;2010-03-10 12:41:27;1;"Forage";424
2010023;2010-03-10 12:41:29;1;"Forage";424
2010023;2010-03-10 12:41:32;1;"Forage";423,5
2010023;2010-03-10 12:41:34;1;"Forage";421,5
2010023;2010-03-10 12:41:36;1;"Forage";419,5
2010023;2010-03-10 12:41:37;1;"Forage";417
2010023;2010-03-10 12:41:39;1;"Forage";414,5
2010023;2010-03-10 12:41:41;1;"Forage";412
2010023;2010-03-10 12:41:43;1;"Forage";408,5
2010023;2010-03-10 12:41:46;1;"Forage";406
2010023;2010-03-10 12:41:48;1;"Forage";403
2010023;2010-03-10 12:41:50;1;"Forage";400,5
2010023;2010-03-10 12:41:51;1;"Forage";398
2010023;2010-03-10 12:41:53;1;"Forage";396
2010023;2010-03-10 12:41:55;1;"Forage";394
2010023;2010-03-10 12:41:58;1;"Forage";391,5
2010023;2010-03-10 12:42:00;1;"Forage";389,5
2010023;2010-03-10 12:42:02;1;"Forage";386
2010023;2010-03-10 12:42:04;1;"Forage";383,5
2010023;2010-03-10 12:42:05;1;"Forage";380
2010023;2010-03-10 12:42:07;1;"Forage";377,5
